Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh
0	999	1.6510035991668701	18.500225	16.669497	111.7164	6.185877	21.911112	60.742584	0.8712576	62.711597	59.419106	53.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	1999	2.0686187744140625	17.70907	14.165849	67.205025	3.9594252	21.891304	60.742584	0.8712576	62.711597	59.419106	53.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	2999	2.5022332668304443	17.825142	22.95943	140.58832	5.134584	20.375	60.72522	0.67172784	61.81471	59.33523	53.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	3999	2.97759747505188	15.418226	9.422609	55.177822	5.3764033	20.67347	60.627136	0.72425467	62.010853	59.745815	53.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	4999	3.4955873489379883	19.112518	15.365239	93.06457	6.7504177	22.533333	60.7536	0.50940776	61.215862	59.76718	53.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	5999	103.74663352966309	155.20013	101.60804	351.79312	8.19116	88.0	71.02678	10.994756	79.97784	51.40086	40.9	91.56805	53.861412	194.67986	-18.517134	7.6244655	-0.6988234	1.917993	12.76829	-9.601707	-98.069046	0.88424903	0.061180633	0.99970007	0.78436357	-0.18604939	0.859576	0.6233001	5.736536	2.2649765e-06
6	6999	208.35537004470825	303.48068	63.193645	381.42166	177.38152	144.28572	1048.1584	0.62447226	1049.0747	1047.0537	1000.0	182.64001	58.1204	228.08434	-27.161575	11.289946	-0.287386	2.2762456	14.452444	-9.960234	-192.6591	0.69407344	0.052499093	0.7842071	0.60488266	-0.47572187	0.88113713	0.66095716	5.655577	8.046627e-07
7	7999	313.54156398773193	348.00812	191.34157	648.3973	152.71729	223.5	1021.7557	0.548773	1023.0215	1021.0609	1000.0	183.08528	54.69982	225.2055	-42.30985	7.8717656	-0.39344567	2.2975779	16.37102	-9.855809	-191.59525	0.52314746	0.045521963	0.60471827	0.44940394	-0.9075376	0.8347153	0.6501487	5.016209	1.7881393e-06
8	8999	415.89786672592163	345.3904	188.73424	645.6319	57.87807	165.66667	974.1334	5.222214	983.9462	963.0695	329.0	176.73569	49.722492	214.47871	-29.243273	5.383506	-0.1404034	2.3180416	17.289213	-9.969752	-184.13606	0.39585748	0.029523987	0.44927678	0.34649667	-1.0571736	0.86315095	0.6606245	5.2649617	5.662441e-07
9	9999	517.3286871910095	436.2056	97.1521	609.2881	322.63104	172.16667	493.98212	2.7061212	499.168	488.77936	225.4	171.74779	51.14101	214.77057	-26.40891	3.7258856	-0.029895546	2.362568	17.474669	-10.906173	-178.41685	0.30498892	0.023445135	0.34641308	0.26625758	-1.2248144	0.86473256	0.66549915	5.949023	1.1920929e-07
10	10999	619.1632120609283	316.0924	183.39453	520.1148	76.07058	136.375	63.826214	1.0696541	65.62072	61.540478	39.1	170.701	48.23674	242.08932	-27.905478	5.135917	0.1969193	2.4697964	20.100424	-10.058277	-176.52332	0.23508993	0.016541189	0.2661887	0.21174489	-1.1521987	0.8873111	0.6933772	7.0818787	1.5795231e-06
11	11999	724.2062723636627	564.8457	50.89645	640.8915	507.38733	213.0	1067.8728	0.6091135	1068.8308	1066.9883	1000.0	190.46706	59.674953	266.53452	-32.78488	5.5545263	1.0481268	2.5175724	20.562405	-11.963782	-197.14131	0.2156607	0.005590634	0.2236921	0.20821294	0.07454037	1.0225897	0.7547694	7.473732	1.0728836e-06
12	12999	826.6587221622467	678.3883	424.2614	1231.09	199.8314	369.66666	901.99646	7.9330626	919.84174	890.00684	291.1	173.40897	50.67652	235.30821	-31.269175	3.0226436	0.33702424	2.5233047	20.337715	-10.836763	-178.50641	0.1844935	0.017026506	0.21515617	0.16129237	-1.1149791	0.912167	0.71083426	6.2618523	5.364418e-07
13	13999	928.3368566036224	656.2636	93.93769	810.96564	564.3656	222.5	640.9523	8.756326	658.39197	628.27686	208.8	174.3233	49.551407	231.97748	-33.293236	3.7908278	0.76663256	2.5888116	23.279226	-11.5471	-179.2062	0.15166362	0.0057428894	0.1612778	0.14236224	-0.439443	0.9213793	0.727711	7.41823	2.5257468e-06
